Dataset,d (qubits),Kernel,Feature map,Depth,Entanglement,Centered?,Delta test acc,Delta offdiag p50,Delta offdiag p95,Delta eff rank,CI95 Delta test acc,CI95 Delta offdiag p50,CI95 Delta offdiag p95,CI95 Delta eff rank,Baseline test acc,Baseline offdiag p50,Baseline eff rank
breast_cancer,6,multiscale,zz_manual_canonical,1,ring,False,0.0029239766081872176,0.17342958445121995,0.21577687615643573,-183.71155695092,,,,,0.7134502923976608,0.014320021545255792,315.7635031155659
breast_cancer,8,multiscale,zz_manual_canonical,1,ring,False,0.0029239766081871066,0.17870405005467307,0.24854171659588092,-291.09288702157676,,,,,0.716374269005848,0.0035398424060346626,475.80781929708183
breast_cancer,10,multiscale,zz_manual_canonical,1,ring,False,0.023391812865497186,0.18102885774167338,0.2582443473510784,-328.85194924259304,,,,,0.672514619883041,0.0008705274985731587,540.1076779347472
breast_cancer,12,multiscale,zz_manual_canonical,1,ring,False,0.0643274853801169,0.1827960574127563,0.2612613900527326,-336.430310497527,,,,,0.6111111111111112,0.0002150921374751646,559.3652398977001
breast_cancer,14,multiscale,zz_manual_canonical,1,ring,False,0.08187134502923965,0.18307538103219054,0.25941801358640176,-335.4426714279642,,,,,0.6023391812865497,5.08870965721238e-05,566.1369380016807
breast_cancer,16,multiscale,zz_manual_canonical,1,ring,False,0.07602339181286555,0.18337587275710038,0.2589781428002502,-333.98394591810666,,,,,0.6023391812865497,1.2375865302840635e-05,568.0472022456012
breast_cancer,18,multiscale,zz_manual_canonical,1,ring,False,0.049707602339181256,0.18464538426598157,0.2601644786302691,-333.3324378168504,,,,,0.6023391812865497,3.1304648162485595e-06,568.6110847128194
breast_cancer,20,multiscale,zz_manual_canonical,1,ring,False,0.08187134502923976,0.1851873707234315,0.25866421488931607,-331.3327626806039,,,,,0.6023391812865497,7.782231955290666e-07,568.8735826460576
exam_score_prediction,4,local,zz_qiskit,1,linear,False,0.0,0.20610334221910945,0.22780847642141128,-63.486231489659374,,,,,0.5533333333333333,0.03478792477956925,142.7834637613031
exam_score_prediction,6,local,zz_qiskit,1,linear,False,0.0,0.23798990291320624,0.327753680496357,-983.5315557991946,,,,,0.5533333333333333,0.006409263945954803,1120.2612029046759
exam_score_prediction,8,local,zz_qiskit,1,linear,False,0.0,0.24474455486173155,0.34552728413718486,-1680.8550725494715,,,,,0.5533333333333333,0.00118068943550813,1855.7727522757662
exam_score_prediction,10,local,zz_qiskit,1,linear,False,-0.015833333333333366,0.24653012690982357,0.34070874480207314,-1776.0968555952513,,,,,0.5583333333333333,0.00021898440242432856,1980.5308571848875
exam_score_prediction,12,local,zz_qiskit,1,linear,False,-0.0024999999999999467,0.2472870048119205,0.333406003148267,-1770.489728372529,,,,,0.5558333333333333,4.069445958201884e-05,1995.3539679886183
exam_score_prediction,14,local,zz_qiskit,1,linear,False,-0.0016666666666667052,0.24777952319611576,0.32515694906258813,-1752.326457890383,,,,,0.555,7.572424042808071e-06,1998.4290232572941
